source,time,yaw,pitch,roll,altitude,lat,lng,relative_alt,pointing_a,pointing_b,pointing_c
AHRS2,,1.2135871648788452,0.33385661244392395,-0.06804388016462326,0.0,0.0,0.0,,,,
AHRS3,,1.1148582696914673,0.3327088952064514,-0.06748156249523163,783.0,48.5618706,35.0994392,,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-433.0
GPS_RAW_INT,828.755,0.0,,,,48.561854,35.099429799999996,,,,
GPS2_RAW,828.756,0.0,,,,48.561854,35.099429799999996,,,,
GLOBAL_POSITION_INT,828.955,,,,,48.561892799999995,35.0994532,726.931,,,
ATTITUDE,829.071,1.1041227579116821,0.32620540261268616,-0.06673651188611984,,,,,,,
AHRS2,,1.2034157514572144,0.32673922181129456,-0.06855181604623795,0.0,0.0,0.0,,,,
AHRS3,,1.1041227579116821,0.32620540261268616,-0.06673651188611984,785.0,48.5619004,35.099458,,,,
GPS_RAW_INT,829.1719999999999,0.0,,,,48.561891599999996,35.0994534,,,,
GPS2_RAW,829.1719999999999,0.0,,,,48.561891599999996,35.0994534,,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-434.0
GLOBAL_POSITION_INT,829.172,,,,,48.5619191,35.0994698,728.07,,,
ATTITUDE,829.3720000000001,1.0983343124389648,0.33799126744270325,-0.08532355725765228,,,,,,,
AHRS2,,1.195412516593933,0.33809930086135864,-0.08361486345529556,0.0,0.0,0.0,,,,
AHRS3,,1.0983343124389648,0.33799126744270325,-0.08532355725765228,786.0,48.5619283,35.0994756,,,,
GPS_RAW_INT,829.372,0.0,,,,48.561910399999995,35.0994652,,,,
GPS2_RAW,829.3729999999999,0.0,,,,48.561910399999995,35.0994652,,,,
GLOBAL_POSITION_INT,829.554,,,,,48.5619452,35.0994862,729.15,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-435.0
ATTITUDE,829.654,1.087679386138916,0.3494972586631775,-0.07724884152412415,,,,,,,
AHRS2,,1.1842420101165771,0.3497775197029114,-0.07333962619304657,0.0,0.0,0.0,,,,
AHRS3,,1.087679386138916,0.3494972586631775,-0.07724884152412415,787.0,48.5619546,35.099492,,,,
GPS_RAW_INT,829.554,0.0,,,,48.561929199999994,35.0994769,,,,
GPS2_RAW,829.555,0.0,,,,48.561929199999994,35.0994769,,,,
GLOBAL_POSITION_INT,829.754,,,,,48.5619693,35.099501,730.192,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-436.0
GPS_RAW_INT,829.754,0.0,,,,48.561948099999995,35.0994886,,,,
GPS2_RAW,829.755,0.0,,,,48.561948099999995,35.0994886,,,,
ATTITUDE,829.932,1.0634899139404297,0.3370726704597473,-0.07977132499217987,,,,,,,
AHRS2,,1.159682035446167,0.3360254764556885,-0.07289860397577286,0.0,0.0,0.0,,,,
AHRS3,,1.0634899139404297,0.3370726704597473,-0.07977132499217987,788.0,48.5619806,35.0995077,,,,
GLOBAL_POSITION_INT,829.955,,,,,48.5619939,35.0995156,731.302,,,
GPS_RAW_INT,830.155,0.0,,,,48.5619855,35.099511199999995,,,,
GPS2_RAW,830.155,0.0,,,,48.5619855,35.099511199999995,,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-438.0
ATTITUDE,830.231,1.0522898435592651,0.32581979036331177,-0.041420504450798035,,,,,,,
AHRS2,,1.149986982345581,0.3246203660964966,-0.03281760215759277,0.0,0.0,0.0,,,,
AHRS3,,1.0522898435592651,0.32581979036331177,-0.041420504450798035,789.0,48.562008899999995,35.099524599999995,,,,
GLOBAL_POSITION_INT,830.155,,,,,48.5620182,35.099530099999996,732.442,,,
GPS_RAW_INT,830.355,0.0,,,,48.562004099999996,35.099522199999996,,,,
GPS2_RAW,830.356,0.0,,,,48.562004099999996,35.099522199999996,,,,
ATTITUDE,830.472,1.0482439994812012,0.32047104835510254,-0.05087842047214508,,,,,,,
AHRS2,,1.1461434364318848,0.3196426331996918,-0.042827166616916656,0.0,0.0,0.0,,,,
